Id,Requirement
533,Sea-ice cover
561,Sea-ice cover
846,Sea-ice cover
9,Sea-ice elevation
403,Sea-ice elevation
480,Sea-ice motion
481,Sea-ice motion
848,Sea-ice motion
484,Sea-ice surface characteristics
10,Sea-ice surface temperature
294,Sea-ice surface temperature
372,Sea-ice surface temperature
11,Sea-ice thickness
295,Sea-ice thickness
373,Sea-ice thickness
534,Sea-ice thickness
535,Sea-ice thickness
562,Sea-ice thickness
847,Sea-ice thickness
296,Sea-ice type
297,Short-wave cloud reflectance
107,Significant wave height
233,Significant wave height
184,O3 Total Column
286,O3 Total Column
367,O3 Total Column
802,O3 Total Column
911,O3 Total Column
912,O3 Total Column
913,O3 Total Column
197,Ocean chlorophyll concentration 
500,Ocean chlorophyll concentration 
552,Ocean chlorophyll concentration 
753,Ocean chlorophyll concentration 
854,Ocean chlorophyll concentration 
198,Ocean dynamic topography
400,Ocean dynamic topography
501,Ocean dynamic topography
502,Ocean dynamic topography
553,Ocean dynamic topography
754,Ocean dynamic topography
841,Ocean dynamic topography
287,Ocean salinity
503,Ocean salinity
504,Ocean salinity
505,Ocean salinity
506,Ocean salinity
554,Ocean salinity
555,Ocean salinity
838,Ocean salinity
849,Ocean subsurface dissolved oxygen concentration
852,Ocean subsurface tracers
441,Ocean surface currents (vector)
507,Ocean surface currents (vector)
508,Ocean surface currents (vector)
509,Ocean surface currents (vector)
510,Ocean surface currents (vector)
511,Ocean surface currents (vector)
839,Ocean surface currents (vector)
199,Ocean suspended sediments concentration
755,Ocean suspended sediments concentration
288,Ocean temperature
512,Ocean temperature
513,Ocean temperature
514,Ocean temperature
515,Ocean temperature
516,Ocean temperature
556,Ocean temperature
557,Ocean temperature
836,Ocean temperature
517,Ocean velocity
518,Ocean velocity
519,Ocean velocity
829,Earth surface albedo
96,Earth surface short-wave bidirectional reflectance
276,Earth surface short-wave bidirectional reflectance
739,Electron differential directional flux
740,Electron differential directional flux
26,Evapotranspiration
36,Fire fractional cover
435,Fire fractional cover
663,Fire fractional cover
833,Fire fractional cover
834,Fire radiative power
37,Fire temperature
436,Fire temperature
